Loss Reason,Days Offer Close,Discount code,Price,Use Case_offer,Price Category,Days Lead Offer,Pain,Source,Status_offer
No Loss,111,MONTH75SPECIAL,150.0,Educational Seminars,low,92.0,financial control,Outbound,Closed Won
No Loss,0,YEARLY30DISCOUNT,1680.0,Corporate Events,mid,-1.0,Unknown,Unknown,Closed Won
No Loss,0,10OFFREDUCED,324.0,Corporate Events,low,-1.0,quality of delivery,Unknown,Closed Won
not target,123,QUARTERLY75OFF,150.0,Corporate Events,low,123.0,Unknown,Outbound,Closed Lost
No Loss,0,ANNUAL30BONUS,1344.0,Educational Seminars,mid,341.0,operations,Inbound,Closed Won
not target,3,SAVE25LESS,360.0,Corporate Events,low,92.0,Unknown,Outbound,Closed Lost
No Loss,78,No Discount,360.0,Corporate Events,low,0.0,operations,Inbound,Demo 1
no product fit,0,No Discount,0.0,Educational Seminars,low,14.0,financial control,Outbound,Closed Lost
no product fit,0,No Discount,200.0,Corporate Events,low,153.0,operations,Inbound,Closed Lost
no product fit,12,No Discount,200.0,Sports Events,low,-1.0,operations,Unknown,Closed Lost
No Loss,76,No Discount,360.0,Corporate Events,low,55.0,Unknown,Inbound,Demo 1
No Loss,0,No Discount,0.0,Educational Seminars,low,-1.0,financial control,Unknown,Negotiation
No Loss,0,NOCOSTREG,120.0,Educational Seminars,low,0.0,financial control,Outbound,Closed Won
No Loss,0,RENEW30YEARLY,1008.0,Corporate Events,mid,-1.0,financial control,Unknown,Closed Won
No Loss,0,ECONOMY50SPECIAL,300.0,Sports Events,low,-1.0,operations,Unknown,Closed Won
No Loss,0,MONTHSAVE25DEAL,360.0,Corporate Events,low,336.0,operations,Outbound,Closed Won
No Loss,0,MONTHSAVE25DEAL,360.0,Corporate Events,low,-1.0,operations,Unknown,Closed Won
no response,245,SEMESTER20DEALAGAIN,960.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Lost
No Loss,-1,No Discount,360.0,Corporate Events,low,-1.0,operations,Unknown,Demo 1
No Loss,-1,No Discount,420.0,Sports Events,low,-1.0,Unknown,Unknown,Checkbox
No Loss,0,YEARLY30PROMO,1344.0,Corporate Events,mid,-1.0,financial control,Inbound,Checkbox
no product fit,37,No Discount,0.0,Sports Events,low,122.0,operations,Outbound,Closed Lost
No Loss,0,MONTH50REBATE,240.0,Corporate Events,low,156.0,operations,Inbound,Closed Won
No Loss,-1,2SEMESTERS20OFF,768.0,Corporate Events,mid,18.0,financial control,Inbound,Closed Won
No Loss,0,MONTH50CUTBACK,300.0,Corporate Events,low,200.0,operations,Inbound,Closed Won
No Loss,39,No Discount,360.0,Educational Seminars,low,355.0,financial control,Inbound,Demo 1
lost to competitor,153,MONTHSAVE25DEAL,360.0,Corporate Events,low,60.0,quality of delivery,Inbound,Closed Lost
No Loss,0,MONTH75SAVINGS,120.0,Educational Seminars,low,-1.0,operations,Unknown,Closed Won
No Loss,0,2SEMESTERS20OFF,768.0,Corporate Events,mid,89.0,financial control,Inbound,Closed Won
lost to competitor,123,10OFFREDUCED,324.0,Corporate Events,low,89.0,Unknown,Inbound,Closed Lost
price,31,2SEMESTERS20OFF,768.0,Corporate Events,mid,233.0,financial control,Outbound,Closed Lost
lost to competitor,4,No Discount,200.0,Educational Seminars,low,-1.0,quality of delivery,Unknown,Closed Lost
No Loss,0,2SEMESTERS20SALE,576.0,Corporate Events,mid,0.0,time saving,Outbound,Closed Won
No Loss,-1,MONTHSAVE25DEAL,360.0,Corporate Events,low,35.0,operations,Outbound,Closed Won
No Loss,0,MONTHSAVE25DEAL,360.0,Corporate Events,low,-1.0,financial control,Inbound,Closed Won
no product fit,0,ECONOMY50GIFT,240.0,Educational Seminars,low,-1.0,operations,Outbound,Closed Lost
No Loss,89,HALFSEASON20G,576.0,Educational Seminars,mid,-1.0,operations,Outbound,Closed Won
No Loss,0,HALFSEASON20G,576.0,Educational Seminars,mid,3.0,operations,Inbound,Checkbox
No Loss,0,NOCOSTREG,120.0,Educational Seminars,low,-1.0,financial control,Unknown,Closed Won
lost to competitor,7,2SEMESTERS20OFF,768.0,Corporate Events,mid,-1.0,financial control,Unknown,Closed Lost
lost to competitor,1,MONTHSAVE25DEAL,360.0,Sports Events,low,7.0,operations,Inbound,Closed Lost
No Loss,68,No Discount,360.0,Corporate Events,low,10.0,Unknown,Outbound,Demo 1
No Loss,0,MONTH50REBATE,240.0,Corporate Events,low,3.0,operations,Outbound,Closed Won
No Loss,0,MONTH50REBATE,240.0,Corporate Events,low,-1.0,quality of delivery,Unknown,Closed Won
No Loss,0,MONTHSAVE25DEAL,360.0,Corporate Events,low,0.0,quality of delivery,Outbound,Closed Won
No Loss,61,SLASH10,324.0,Sports Events,low,184.0,Unknown,Inbound,Checkbox
No Loss,0,ANNUAL30BONUS,1344.0,Educational Seminars,mid,-1.0,financial control,Unknown,Closed Won
No Loss,0,HALFYEAR20G,768.0,Sports Events,mid,-1.0,Unknown,Unknown,Closed Won
No Loss,0,HALFYEAR20G,768.0,Educational Seminars,mid,-1.0,quality of delivery,Inbound,Negotiation
no product fit,0,No Discount,200.0,Educational Seminars,low,62.0,financial control,Outbound,Closed Lost
no product fit,0,SAVEMONTH50G,240.0,Educational Seminars,low,0.0,operations,Outbound,Closed Lost
No Loss,0,ANNUAL30BONUS,1344.0,Educational Seminars,mid,-1.0,financial control,Unknown,Closed Won
lost to competitor,3,No Discount,200.0,Corporate Events,low,0.0,financial control,Inbound,Closed Lost
No Loss,71,HALFYEAR20G,768.0,Educational Seminars,mid,-1.0,operations,Unknown,Demo 1
